gene,mean_c2,mean_other,log2fc,pvalue
EEF1A1,16.90722729720598,16.926493445904825,-0.019266148698843466,0.838049418085788
GAPDH,16.39186709403902,16.434490749829152,-0.0426236557901305,0.6361122648749811
ACTB,16.362045959152514,16.364467657746903,-0.0024216985943894542,0.9635678250405233
COL1A1,14.80591260319035,15.600524139047852,-0.7946115358575021,0.0001316704908473934
TPT1,15.961671212084172,15.999163946885501,-0.03749273480132942,0.748287081104687
RPL8,16.083059980003096,15.833449314756278,0.2496106652468182,0.025900341618605056
ACTG1,16.099629198388847,16.062773211799218,0.03685598658962874,0.584040581859389
IGF2,11.270839787045217,13.82068070121822,-2.5498409141730036,3.297231331326433e-08
RPS18,15.686714069447868,15.600638239727873,0.08607582971999506,0.44899959719615057
CD74,15.915337071791189,14.999850958575022,0.9154861132161667,5.7310733038053875e-08
FTH1,15.954719081224969,15.400673001407615,0.5540460798173541,2.0119275030119185e-07
CLU,15.089901880651432,14.943027107813093,0.1468747728383395,0.509125737095298
RPS3,15.611575999512999,15.488582335715483,0.12299366379751575,0.27662758242197116
RPS6,15.678773913521654,15.449881558689645,0.2288923548320092,0.029653218437955344
B2M,15.860557499135465,15.057420423803132,0.8031370753323337,2.9045030762595713e-12
RPS4X,15.336205261508068,15.33014800393362,0.006057257574447306,0.9485643100426813
FTL,15.542019970235948,15.256215962082559,0.2858040081533897,0.0018464939774014884
RPLP0,15.285909255652111,15.363251680283184,-0.07734242463107321,0.4201326879447551
COL1A2,14.206864255478907,15.030384122385142,-0.8235198669062349,3.651445226873566e-06
RPL3,15.297988989231968,15.31517555201762,-0.01718656278565156,0.8453380760990374
TMSL3,15.36446596600571,15.093858191524925,0.2706077744807853,0.012190201928476979
COL3A1,13.851791619096858,14.522824728595808,-0.6710331094989499,0.0014503121598509444
RPLP1,15.19409051492537,15.080348684724466,0.11374183020090456,0.32162424688330055
PABPC1,15.223252335869471,15.152975923422096,0.07027641244737559,0.4509259304644794
C3,14.848938145828228,14.297103188303522,0.5518349575247061,0.010585424850291207
HSP90AB1,15.242952467860672,15.236270018921886,0.006682448938786223,0.9180369566066491
RPS8,15.206202842849311,15.110645274144199,0.09555756870511267,0.32776908906392166
ENO1,15.33444191869099,15.102123100206605,0.2323188184843854,0.0042099422216251275
PKM2,15.287850777764412,15.015316604850177,0.2725341729142343,0.0013958010253404135
EEF2,14.97338337223799,15.146509019153351,-0.17312564691536103,0.0298742570416502
RPL4,14.955735009016122,15.06292510612338,-0.10719009710725835,0.2478868117137276
BCAM,14.660289849768878,14.85784790398146,-0.19755805421258188,0.17193468614339794
FN1,13.875390044037482,14.131461922214198,-0.25607187817671573,0.1907964241141592
RPS11,15.008616083565974,14.914782515332822,0.09383356823315125,0.337497012746808
GNB2L1,14.820035112104037,14.971849508657044,-0.1518143965530072,0.11410049637832853
H19,11.663909918453044,12.614205776419054,-0.9502958579660099,0.028002756106502193
RPL5,14.792002665565658,14.959359856227191,-0.16735719066153365,0.06499186081257326
UBC,15.158937287240283,14.966087932867746,0.19284935437253736,0.00029743255426452114
HLA-B,15.2943955509808,14.244346127250164,1.050049423730636,3.7320194254258516e-12
SPARC,14.034016034377101,14.64564698197827,-0.611630947601169,2.7938827233331764e-05
GNAS,14.752756974124576,14.988825251952008,-0.23606827782743167,0.0010614247444113774
PSAP,15.021889884286171,14.861028810812408,0.16086107347376277,0.015701962886801084
ALDOA,15.14201298615917,14.733127932185916,0.40888505397325403,4.359283544719935e-08
RPL41,14.814942896610578,14.751388076051839,0.06355482055873907,0.5092318955860495
CALR,14.908611819762084,14.85449062425106,0.05412119551102457,0.42140098649477775
PTMA,14.977293367614012,14.838519329999132,0.13877403761487983,0.02680645332772476
HSPA8,14.934947176686793,14.851757131766847,0.0831900449199452,0.17155593730843696
RPL15,14.776661601115567,14.72067174604851,0.05598985506705745,0.5404777786300716
EEF1G,14.705949396772853,14.767050333012598,-0.061100936239744996,0.47069051707189025
RPL37A,14.610103531502423,14.617084929161717,-0.00698139765929362,0.9517663550459811
RPS16,14.629423751358594,14.51990287738296,0.10952087397563481,0.3632865253944675
RPL30,14.784035348632797,14.563346302940468,0.22068904569232828,0.03072572024010251
TUBB,14.7510392041342,14.727185503830366,0.02385370030383349,0.7264397791837446
HSP90AA1,14.713890566765375,14.69687159033582,0.017018976429556076,0.8184245994315016
CTSB,14.7461827975784,14.537031147919766,0.20915164965863475,0.028871059038788907
WFDC2,14.45943534985276,14.13686729355161,0.32256805630114904,0.05564496137073424
RPL32,14.58964028325372,14.55758056396004,0.0320597192936809,0.7501244743689626
TUBA1B,14.679784590897063,14.6435763950564,0.03620819584066304,0.6219181554459294
RPS20,14.522599878643874,14.542335308456432,-0.019735429812557825,0.8432915913600498
RPS14,14.551140664184882,14.460381616186249,0.09075904799863288,0.4264661977792886
RPS24,14.506752961347916,14.473985041801955,0.03276791954596092,0.7623834028356377
RPS19,14.552644072651594,14.435115043730407,0.11752902892118655,0.2817850538630195
S100A6,14.604725352199672,13.697866887277883,0.9068584649217897,3.694304765630233e-08
TMSB10,14.589081962802933,14.441230529521526,0.14785143328140649,0.10856402759294395
RPL19,14.46785421000831,14.483398907346455,-0.015544697338144786,0.8553687077565258
KRT8,14.393635533600854,14.47330758530548,-0.07967205170462677,0.40805021482704584
RPS12,14.273119710676573,14.33415955146635,-0.061039840789776534,0.6231999508101513
RPL13,14.444580985631102,14.339188119832079,0.10539286579902374,0.3149247549565767
RPL28,14.550823208354137,14.345696727886637,0.20512648046750037,0.05757232468547448
YWHAZ,14.633652574272961,14.428467706761927,0.2051848675110346,0.007773728641563077
RPL37,14.38911175921581,14.385762926426224,0.003348832789585643,0.9739130434642722
CD24,14.150209108468365,13.952007991429193,0.1982011170391722,0.23144716123453168
IFITM3,14.50584056562094,14.27471347900397,0.23112708661697035,0.042919327596365846
RPL10A,14.362256244924591,14.387329702107234,-0.025073457182642755,0.7884452078496845
MYL6,14.483770174130438,14.381315230144704,0.10245494398573385,0.23404078573458095
HLA-C,14.728885253334015,13.862999869562891,0.8658853837711238,2.0531193895754984e-09
TPM4,14.307889154178506,14.372265655822211,-0.06437650164370545,0.49393630180254644
RPL10,14.40271193765011,14.278867539159227,0.12384439849088302,0.19334461041719783
RPL27A,14.35095516608123,14.218988247238766,0.1319669188424637,0.2370501451449685
RPS5,14.300288146432642,14.182076058737026,0.11821208769561586,0.3394281183448341
HSP90B1,14.283780505280692,14.415783685913777,-0.13200318063308458,0.03889954209076691
HLA-A,14.637073445942287,13.895916622760383,0.7411568231819032,6.438405373920992e-09
RPL31,14.195818945336745,14.254468975367738,-0.058650030030992895,0.5487212750351469
LGALS3BP,14.466280182020986,14.148985895267494,0.31729428675349247,0.0007505011374306249
RPL35A,14.296408367469061,14.196717123354887,0.09969124411417418,0.34198556046275275
FLNA,14.092570297321323,14.261687785944195,-0.1691174886228719,0.14248147275679418
TMBIM6,14.323258730401603,14.373149079211997,-0.04989034881039345,0.38379560456788486
RPL13A,14.208661699760112,14.218851183449901,-0.010189483689789114,0.9211367043215184
RPS9,14.29063078624768,14.20645903974395,0.08417174650373127,0.3742537113936426
RPL7A,14.18988126205864,14.220042748462628,-0.030161486403988746,0.7518536109966852
VIM,13.79211459894236,14.193637102593646,-0.40152250365128594,0.0003998627768067296
ATP5B,14.38736363877029,14.260874680198521,0.12648895857176967,0.04349944540953298
CFL1,14.443100867590157,14.236314028118622,0.2067868394715351,0.0008780013095093353
SPINT2,14.169063089699025,13.946206838861935,0.22285625083708993,0.07404018681727906
MYH9,14.127802016283448,14.196287157774973,-0.06848514149152507,0.45394046091414475
RPL18,14.103930342577165,14.090090905125784,0.013839437451380832,0.8948811922478905
HLA-DRA,14.348830856316503,13.359341497143614,0.9894893591728895,4.9236012006589204e-08
RPL11,14.167041386997472,14.123269969887167,0.043771417110304967,0.6230218754156764
SLPI,13.685766069079099,13.362197066408632,0.3235690026704674,0.10227377721087547
LY6E,14.158617769979692,13.72333508318378,0.43528268679591164,0.004176231627375262
RPS17,14.021892499376053,14.04853822214952,-0.026645722773467995,0.8043775900762958
BMS1P20,12.805247863953783,11.161034177879616,1.644213686074167,1.9454119691807333e-06
